 1 	 AR1(0.14) 	  18  73   4 	  0.1377
 2 	 AR1(0.17) 	 124   6 106 	  0.1681
 3 	 AR1(0.19) 	 251 234  92 	  0.1913
 4 	 AR1(0.21) 	 127 114 176 	  0.2098
 5 	 AR1(0.23) 	 133 212 253 	  0.2284
 6 	 AR1(0.24) 	   2 135   4 	  0.2443
 7 	 AR1(0.26) 	 106 140 122 	  0.2561
 8 	 AR1(0.27) 	 153  16 198 	  0.2668
 9 	 AR1(0.28) 	  85  92 180 	  0.2772
10 	 AR1(0.29) 	 214 125 151 	  0.2881
11 	 AR1(0.30) 	  56 147 146 	  0.2985
12 	 AR1(0.31) 	 193  56  58 	  0.3102
13 	 AR1(0.32) 	  27 151  22 	  0.3219
14 	 AR1(0.33) 	 152 108  47 	  0.3331
15 	 AR1(0.35) 	  35 150 252 	  0.3455
16 	 AR1(0.36) 	 110 200 192 	  0.3582
17 	 AR1(0.37) 	 250 157 131 	  0.3688
18 	 AR1(0.38) 	  98  28  84 	  0.3789
19 	 AR1(0.39) 	  41 123 180 	  0.3888
20 	 AR1(0.40) 	  36  11  30 	  0.3984
21 	 AR1(0.41) 	 237 205 115 	  0.4082
22 	 AR1(0.42) 	  71  53 123 	  0.4204
23 	 AR1(0.43) 	 123  49 222 	  0.4335
24 	 AR1(0.45) 	  15  81  69 	  0.4468
25 	 AR1(0.46) 	 118 245 124 	  0.4587
26 	 AR1(0.47) 	 234  88 149 	  0.4704
27 	 AR1(0.48) 	 129  31  46 	  0.4833
28 	 AR1(0.50) 	 176 250 100 	  0.4991
29 	 AR1(0.52) 	  43 236 105 	  0.5196
30 	 AR1(0.56) 	  50 163 105 	  0.5571
