 1 	 AR1(0.17) 	 184 254 222 	  0.1655
 2 	 AR1(0.19) 	   9 176  98 	  0.1940
 3 	 AR1(0.21) 	 233 222  73 	  0.2138
 4 	 AR1(0.23) 	 174  52  44 	  0.2331
 5 	 AR1(0.25) 	  10 213 222 	  0.2538
 6 	 AR1(0.27) 	  98 163 122 	  0.2694
 7 	 AR1(0.28) 	 242 133  61 	  0.2827
 8 	 AR1(0.30) 	 119  84 191 	  0.2976
 9 	 AR1(0.31) 	 184 204  22 	  0.3125
10 	 AR1(0.32) 	 150  38 128 	  0.3236
11 	 AR1(0.33) 	 138  52 140 	  0.3324
12 	 AR1(0.34) 	 161 146  93 	  0.3406
13 	 AR1(0.35) 	 228 139 201 	  0.3497
14 	 AR1(0.36) 	 194 196   2 	  0.3580
15 	 AR1(0.37) 	 113 104  83 	  0.3684
16 	 AR1(0.38) 	 136  44  46 	  0.3802
17 	 AR1(0.39) 	 166  33  23 	  0.3916
18 	 AR1(0.40) 	  60 211 161 	  0.4008
19 	 AR1(0.41) 	 158  47 145 	  0.4104
20 	 AR1(0.42) 	 151 239 109 	  0.4195
21 	 AR1(0.43) 	 149  70 148 	  0.4300
22 	 AR1(0.44) 	 110 117  28 	  0.4402
23 	 AR1(0.45) 	 181 205 177 	  0.4496
24 	 AR1(0.46) 	  67 178 249 	  0.4576
25 	 AR1(0.47) 	  21  43 230 	  0.4663
26 	 AR1(0.47) 	 164  28 207 	  0.4744
27 	 AR1(0.48) 	 139 192 209 	  0.4846
28 	 AR1(0.50) 	 135  75 100 	  0.5013
29 	 AR1(0.52) 	  53  33 124 	  0.5237
30 	 AR1(0.58) 	 232 202  20 	  0.5768
